Category;CategoryName;CurrencyCode;DimensionDepth;DimensionHeight;DimensionUnit;DimensionWidth;LongDescription;Name;Price;ProductID;QuantityUnit;ShortDescription;Supplier_SupplierID;Weight;WeightUnit;Picture
Notebooks;Notebooks;EUR;170;31;cm;290;Notebook Basic 17 with 2,80 GHz quad core, 17 inch LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;Notebook Basic 17;1249.00;1624899;EA;Notebook Basic 17 with 2,80 GHz quad core, 17 inch LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;100000045;45;KG;
Flat Screen TVs;Flat Screen TVs;EUR;260;610;cm;991;37-inch, 1366x768 Pixel, 16:9, HDTV ready;Flat Watch HD37;1199.00;1624900;EA;37-inch, 1366x768 Pixel, 16:9, HDTV ready;100000048;22;KG;
MP3 Players;MP3 Players;EUR;60;10;cm;15;64 GB USB Music-on-a-Stick;ITelo MusicStick;45.00;1624901;EA;64 GB USB Music-on-a-Stick;100000050;1340;G;
Smartphones;Smartphones;EUR;60;15;cm;80;6 inch 1280x800 HD display (216 ppi), Quad-core processor, 8 GB internal storage (actual formatted capacity will be less), 3050 mAh battery (Up to 8 hours of active use), grey or black;Astro Phone 6;649.00;1624902;EA;6 inch 1280x800 HD display (216 ppi), Quad-core processor, 8 GB internal storage (actual formatted capacity will be less), 3050 mAh battery (Up to 8 hours of active use), grey or black;100000047;750;KG;
PDAs;PDAs;EUR;130;121;cm;81;Our new multifunctional Handheld with phone function in platinum;Platinberry;549.00;1624903;EA;Our new multifunctional Handheld with phone function in platinum;100000049;5;KG;
Software;Software;EUR;34;220;cm;110;Complete package, 1 User, different Multimedia applications, playing music, watching DVDs, only with this Smart package;Smart Multimedia;77.00;1624904;EA;Complete package, 1 User, different Multimedia applications, playing music, watching DVDs, only with this Smart package;100000044;8;KG;
Software;Software;EUR;42;231;cm;179;Complete package, 1 User, recommended for internet users, protect your PC against cyber-crime;Smart Firewall;34.00;1624905;EA;Complete package, 1 User, recommended for internet users, protect your PC against cyber-crime;100000042;9;KG;
Portable Players;Portable Players;EUR;260;62;cm;380;160 GB HDD, CD-RW, MPEG 2 (Video-DVD), MPEG 4, VCD, SVCD, DivX, Xvid;Record Movie;288.00;1624906;EA;160 GB HDD, CD-RW, MPEG 2 (Video-DVD), MPEG 4, VCD, SVCD, DivX, Xvid;100000043;31;KG;
Telecommunications;Telecommunications;EUR;180;50;cm;193;Wireless DSL Router Repeater (available in blue, black and silver);Wireless DSL Router  Repeater;59.00;1624907;EA;Wireless DSL Router Repeater (available in blue, black and silver);100000046;450;KG;
Headsets;Headsets;EUR;190;230;cm;240;51 Headset, 40 Hz-20 kHz, Wireless;Lovely Sound 51 Wireless;49.00;1624908;EA;51 Headset, 40 Hz-20 kHz, Wireless;100000045;8;G;
Notebooks;Notebooks;EUR;200;34;cm;320;Notebook with 2,80 GHz dual core, 8 GB DDR3 SDRAM, 500 GB Hard Disc, Windows 8;ITelO FlexTop I6300c;999.00;1624909;EA;Notebook with 2,80 GHz dual core, 8 GB DDR3 SDRAM, 500 GB Hard Disc, Windows 8;100000048;42;KG;
PDAs;PDAs;EUR;130;121;cm;81;Our new multifunctional Handheld with phone function in silver;Silverberry;549.00;1624910;EA;Our new multifunctional Handheld with phone function in silver;100000050;5;KG;
Mice;Mice;EUR;5;10;cm;3;Portable pocket Mouse with retracting cord;Pocket Mouse;23.00;1624911;EA;Portable pocket Mouse with retracting cord;100000047;20;KG;
Accessories;Accessories;EUR;310;45;cm;480;Durable high quality plastic bump-sleeve, lightweight, protects from scratches, rubber coating, multiple colors available, Accurate design and cut-outs for your device, snap-on design;Smartphone Cover;15.00;1624912;EA;Durable high quality plastic bump-sleeve, lightweight, protects from scratches, rubber coating, multiple colors available, Accurate design and cut-outs for your device, snap-on design;100000049;20;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;120;360;cm;370;Optimum Hi-Resolution max 1920 x 1080 @ 85Hz, Dot Pitch: 027mm;Ergo Screen E-I;230.00;1624913;EA;Optimum Hi-Resolution max 1920 x 1080 @ 85Hz, Dot Pitch: 027mm;100000044;210;KG;
Notebooks;Notebooks;EUR;180;30;cm;300;Notebook Basic 15 with 2,80 GHz quad core, 15 inch LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;Notebook Basic 15;956.00;1624914;EA;Notebook Basic 15 with 2,80 GHz quad core, 15 inch LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;100000042;42;KG;
PCs;PCs;EUR;340;470;cm;265;3,4 Ghz quad core, 8 GB DDR3 SDRAM, 2000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8;Gaming Monster;1200.00;1624915;EA;3,4 Ghz quad core, 8 GB DDR3 SDRAM, 2000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8;100000043;59;KG;
MP3 Players;MP3 Players;EUR;80;92;cm;51;MP3-Player with 40 GB HDD and Color Display, can play movies;Power Pro Player 40;167.00;1624916;EA;MP3-Player with 40 GB HDD and Color Display, can play movies;100000046;2660;G;
Software;Software;EUR;65;21;cm;150;Complete package, 1 User, Office Applications (word processing, spreadsheet, presentations);Smart Office;899.00;1624917;EA;Complete package, 1 User, Office Applications (word processing, spreadsheet, presentations);100000045;12;KG;
Notebooks;Notebooks;EUR;180;30;cm;300;Flexible Laptop with 2,5 GHz Quad Core, 15 inch HD TN, 16 GB DDR SDRAM, 256 GB SSD, Windows 10 Pro;Astro Laptop 1516;989.00;1624918;EA;Flexible Laptop with 2,5 GHz Quad Core, 15 inch HD TN, 16 GB DDR SDRAM, 256 GB SSD, Windows 10 Pro;100000048;42;KG;
Software;Software;EUR;30;300;cm;100;Complete package, 1 User, various games for amusement, logic, action, jump;Smart Games;55.00;1624919;EA;Complete package, 1 User, various games for amusement, logic, action, jump;100000050;11;KG;
